p,p
p,c
c,c
f,p
p,f
c,p
c,b
c,f
r,p
b,p
r,f
p,r
p,w
f,c
c,w
b,c
f,f
w,p
e,p
f,w
p,b
w,c
f,r
p,e
r,c
e,f
c,r
e,c
f,b
r,r
c,e
f,e
b,r
w,r
w,f
b,f
r,e
e,e
e,r
w,b
r,w
n,r
w,w
w,e
r,b
b,b
b,e
p,n
n,p
l,p
