topic_idx 0,acid,organic,digest,calcium,digester,anaerobic,calcined,sludge,calcite,digestion,removal,precipitated,phosphates,using,sewage
topic_idx 1,digestate,biosolids,acid,organic,energy,solids,digestion,sludge,anaerobic,chemical,product,technologies,digester,calcium,biogas
topic_idx 2,digestate,biosolids,sludge,energy,digestion,product,waste,membrane,figure,anaerobic,solids,chemical,technologies,resource,liquid
topic_idx 3,tank,reactor,section,flow,step,embodiments,reaction,example,according,method,removal,cross,effluent,comprises,figure
