topic_idx 0,recovery,biosolids,wastewater,nutrient,digestate,water,process,treatment,energy,membrane,resource,technologies,biogas,figure,research
topic_idx 1,digestate,wastewater,reactor,section,process,treatment,flow,water,digestion,struvite,solid,nutrient,liquid,tank,recovery
topic_idx 2,wastewater,tank,reactor,struvite,flow,section,embodiments,treatment,reaction,phosphate,example,according,method,cross,effluent
topic_idx 3,digestate,process,recovery,treatment,liquid,wastewater,nutrient,processing,membrane,energy,biosolids,water,solids,chemical,waste
topic_idx 4,biosolids,recovery,process,energy,water,treatment,digestion,wastewater,solids,resource,digestate,nutrient,used,research,waste
topic_idx 5,process,sludge,phosphorus,treatment,acid,struvite,organic,water,digestate,digestion,anaerobic,recovery,product,waste,phosphate
