topic_idx 0,recovery,biosolids,wastewater,nutrient,water,digestate,process,energy,treatment,membrane,resource,biogas,technologies,figure,processes
topic_idx 1,digestate,wastewater,reactor,section,flow,process,treatment,tank,water,struvite,digestion,cross,solid,nutrient,embodiments
topic_idx 2,wastewater,tank,reactor,struvite,flow,section,embodiments,treatment,reaction,phosphate,example,according,method,cross,effluent
topic_idx 3,digestate,process,recovery,treatment,liquid,wastewater,membrane,processing,nutrient,water,energy,biosolids,processes,solids,figure
topic_idx 4,biosolids,recovery,process,energy,water,treatment,digestion,wastewater,resource,used,solids,nutrient,digestate,waste,data
topic_idx 5,process,sludge,treatment,phosphorus,digestate,acid,organic,struvite,water,digestion,anaerobic,recovery,product,waste,chemical
topic_idx 6,digestate,process,recovery,treatment,digestion,water,product,liquid,ammonia,chemical,energy,processing,membrane,nutrient,solid
topic_idx 7,biosolids,recovery,process,energy,nutrient,wastewater,treatment,water,resource,research,sludge,technologies,phosphorus,solids,biogas
