topic_idx 0,digestate,processing,fraction,techniques,ammonia,liquid,fertiliser,enhancement,technique,content,manure,digestion,solid,membrane,organic
topic_idx 1,tank,reactor,embodiments,reaction,flow,upstream,invention,method,according,piping,example,effluent,injected,formation,device
topic_idx 2,digest,acid,organic,calcined,calcite,calcium,digester,anaerobic,phosphates,thermophilic,sludge,carbonate,precipitated,removal,digestion
topic_idx 3,sludge,biosolids,membrane,energy,draw,product,resource,digested,research,forward,figure,technol,osmosis,stuttgart,distillation
