topic_idx 0,process,recovery,digestate,biosolids,water,treatment,wastewater,nutrient,sludge,energy,phosphorus,struvite,digestion,product,membrane
topic_idx 1,digestate,process,wastewater,treatment,reactor,section,flow,water,digestion,sludge,struvite,phosphorus,recovery,waste,nutrient
topic_idx 2,wastewater,tank,struvite,acid,reactor,phosphate,organic,treatment,digest,process,flow,embodiments,section,phosphorus,calcium
topic_idx 3,process,digestate,recovery,treatment,biosolids,wastewater,energy,water,nutrient,solids,liquid,sludge,membrane,waste,chemical
