topic_idx 0,sludge,organic,digestate,acid,reactor,membrane,figure,product,waste,anaerobic,digestion,digester,liquid,digest,digested
topic_idx 1,digestate,sludge,organic,acid,solids,digestion,biosolids,product,energy,fraction,anaerobic,solid,chemical,technologies,biogas
topic_idx 2,digestate,membrane,digestion,anaerobic,waste,ammonia,product,liquid,sludge,enhancement,chemical,solid,organic,figure,available
topic_idx 3,sludge,reactor,product,fertiliser,figure,digestate,waste,operation,specific,organic,wwtp,digested,pilot,flow,sewage
topic_idx 4,step,method,according,removal,reaction,embodiments,tank,example,reactor,invention,containing,effluent,membrane,formation,comprising
topic_idx 5,acid,organic,digest,calcium,digester,calcined,anaerobic,calcite,phosphates,precipitated,removal,digestion,sludge,using,sewage
topic_idx 6,energy,digestate,biosolids,flow,step,product,digestion,section,reactor,technologies,solids,removal,anaerobic,tank,ammonia
topic_idx 7,tank,reactor,section,flow,embodiments,cross,inlet,outlet,example,reaction,fluid,recycling,path,comprises,step
topic_idx 8,reactor,tank,sludge,flow,figure,section,biosolids,digestate,outlet,embodiments,effluent,rate,increase,conditions,digestion
topic_idx 9,biosolids,energy,resource,technologies,research,biogas,management,solids,future,digestion,carbon,state,products,figure,potential
