topic_idx 0,membrane,water,draw,osmosis,recovery,forward,technol,struvite,wastewater,process,distillation,nutrient,phosphate,flux,hybrid
topic_idx 1,wastewater,tank,reactor,embodiments,struvite,reaction,treatment,flow,invention,section,upstream,method,according,example,piping
topic_idx 2,digest,acid,organic,calcined,calcite,calcium,digester,phosphate,anaerobic,process,phosphorus,phosphates,thermophilic,carbonate,magnesium
topic_idx 3,digestate,processing,fraction,process,techniques,liquid,treatment,ammonia,enhancement,technique,digestion,manure,solid,nutrient,content
topic_idx 4,biosolids,recovery,resource,energy,wastewater,research,nutrient,management,state,water,treatment,technologies,knowledge,potential,project
topic_idx 5,struvite,sludge,phosphorus,fertiliser,process,stuttgart,criteria,recovery,dissolution,plant,product,water,operation,wwtp,regulation
