topic_idx 0,sludge,reactor,organic,acid,digestate,tank,figure,product,membrane,waste,anaerobic,digester,digestion,flow,formation
topic_idx 1,digestate,biosolids,sludge,organic,solids,acid,energy,digestion,product,anaerobic,chemical,technologies,fraction,solid,research
topic_idx 2,digestate,biosolids,sludge,energy,digestion,product,waste,figure,membrane,anaerobic,chemical,solids,technologies,resource,biogas
topic_idx 3,reactor,section,tank,flow,cross,embodiments,step,inlet,fertiliser,sludge,example,particles,recycling,fluid,rate
topic_idx 4,tank,reactor,reaction,step,embodiments,method,according,example,removal,effluent,invention,flow,formation,containing,comprising
topic_idx 5,acid,organic,digest,calcium,digester,anaerobic,calcined,calcite,phosphates,removal,precipitated,digestion,sludge,using,sewage
